price,rooms,area,floor,total_floors,year,building_type_кирпичный,building_type_монолитный,building_type_панельный
28500000,2,51.0,12.0,12.0,2024.0,0,1,0
80000000,4,113.7,16.0,21.0,2012.0,0,1,0
27654000,2,41.9,7.0,9.0,2023.0,0,1,0
85000000,2,63.0,2.0,12.0,2023.0,0,1,0
56000000,3,80.0,2.0,13.0,2025.0,0,1,0
35999999,3,58.0,3.0,4.0,1963.0,0,0,1
26000000,2,55.0,1.0,9.0,2026.0,0,1,0
43000000,2,55.0,5.0,5.0,1976.0,1,0,0
60000000,4,87.5,3.0,5.0,1990.0,0,0,1
42990000,2,57.0,2.0,9.0,2025.0,0,1,0
47000000,3,66.0,5.0,5.0,1987.0,0,0,1
81000000,2,77.0,10.0,25.0,2024.0,0,1,0
72000000,2,64.8,7.0,10.0,2019.0,0,1,0
34000000,2,49.5,5.0,16.0,2025.0,0,1,0
36000000,3,59.0,1.0,4.0,1963.0,0,0,1
36000000,2,45.0,1.0,3.0,1965.0,1,0,0
35500000,2,58.7,5.0,12.0,2023.0,0,1,0
25000000,1,22.5,2.0,4.0,1977.0,0,0,1
48000000,3,78.0,3.0,10.0,2024.0,0,1,0
37000000,3,77.0,5.0,5.0,2015.0,0,1,0
75000000,4,112.5,2.0,6.0,2025.0,0,1,0
36000000,3,67.2,3.0,3.0,1991.0,1,0,0
20000000,1,44.0,10.0,12.0,2026.0,0,1,0
39000000,3,86.7,6.0,6.0,1988.0,1,0,0
52500000,3,83.0,2.0,9.0,2019.0,0,1,0
65000000,4,85.1,1.0,5.0,1993.0,0,0,1
72000000,4,95.0,8.0,9.0,1986.0,0,0,1
18800000,1,25.4,1.0,10.0,2022.0,0,1,0
39000000,2,42.3,2.0,4.0,1965.0,0,0,1
21000000,1,33.6,1.0,3.0,2025.0,0,1,0
37500000,2,70.0,9.0,9.0,2006.0,0,1,0
15000000,1,20.0,5.0,5.0,2000.0,1,0,0
42000000,3,59.0,2.0,6.0,2024.0,0,1,0
55500000,3,92.0,8.0,9.0,2006.0,0,1,0
24000000,2,47.4,1.0,6.0,2025.0,0,1,0
57000000,3,70.0,9.0,12.0,2022.0,0,1,0
72000000,4,87.0,12.0,12.0,2022.0,0,1,0
85000000,3,107.31,1.0,4.0,2023.0,0,1,0
39000000,2,66.6,7.0,12.0,2017.0,0,1,0
25800000,1,35.6,4.0,12.0,2026.0,0,1,0
29000000,2,44.0,4.0,4.0,1965.0,0,0,1
57500000,3,103.2,4.0,5.0,2023.0,0,1,0
412930000,5,347.1,9.0,10.0,2004.0,0,0,1
81000000,3,95.0,12.0,12.0,2024.0,0,1,0
57000000,3,70.17,6.0,6.0,2025.0,0,1,0
32000000,3,58.0,1.0,3.0,1979.0,1,0,0
41000000,1,40.0,1.0,9.0,1986.0,1,0,0
64000000,4,93.6,7.0,10.0,2022.0,0,1,0
59000000,2,50.9,5.0,6.0,1977.0,1,0,0
37000000,2,49.3,10.0,10.0,2022.0,0,1,0
30500000,1,38.0,5.0,6.0,2025.0,0,1,0
24500000,1,30.8,1.0,3.0,2023.0,0,1,0
28000000,1,45.7,3.0,9.0,2025.0,0,1,0
51000000,2,53.6,13.0,17.0,2023.0,0,1,0
26658000,2,44.43,2.0,6.0,2026.0,0,0,0
40000000,3,65.0,3.0,5.0,1977.0,0,0,1
67000000,2,78.4,9.0,9.0,2006.0,0,1,0
37000000,2,70.0,2.0,9.0,2015.0,0,1,0
34000000,1,31.4,2.0,10.0,2021.0,0,1,0
23800000,1,39.1,4.0,5.0,2018.0,0,1,0
41000000,2,57.3,2.0,12.0,2019.0,0,1,0
130000000,4,143.8,7.0,8.0,2019.0,0,1,0
50000000,2,59.0,2.0,13.0,2024.0,0,1,0
68000000,3,80.5,6.0,7.0,2022.0,0,1,0
75000000,2,64.0,16.0,19.0,2021.0,0,1,0
80000000,3,95.0,7.0,13.0,2023.0,0,1,0
34500000,1,38.0,5.0,12.0,2026.0,0,1,0
46800000,2,47.0,2.0,5.0,1987.0,1,0,0
57000000,3,86.0,10.0,10.0,2019.0,0,1,0
91000000,3,94.0,11.0,12.0,2025.0,0,1,0
45500000,3,87.0,8.0,9.0,2012.0,0,1,0
47000000,2,64.15,5.0,6.0,2025.0,0,1,0
77000000,3,70.0,13.0,13.0,2023.0,0,1,0
33000000,2,51.3,5.0,5.0,1989.0,0,0,1
21440000,1,27.4,8.0,12.0,2025.0,0,1,0
50000000,3,68.0,1.0,5.0,1990.0,1,0,0
165000000,3,100.0,1.0,6.0,2023.0,0,1,0
130000000,3,95.0,17.0,17.0,2024.0,0,1,0
27700000,2,51.2,4.0,12.0,2025.0,0,1,0
44000000,3,54.2,2.0,4.0,1961.0,1,0,0
75000000,3,134.0,3.0,20.0,2011.0,0,1,0
65000000,3,92.2,1.0,5.0,1988.0,0,1,0
34400000,2,50.4,11.0,13.0,2024.0,0,1,0
74500000,3,88.0,1.0,3.0,2020.0,1,0,0
37000000,2,54.2,3.0,9.0,2024.0,0,1,0
22000000,1,34.5,4.0,4.0,1976.0,1,0,0
52000000,3,72.0,4.0,13.0,2024.0,0,1,0
29500000,2,38.1,3.0,12.0,2025.0,0,1,0
350000000,4,285.0,5.0,5.0,2021.0,0,1,0
82000000,2,76.3,1.0,4.0,2022.0,0,1,0
19000000,1,35.0,9.0,12.0,2025.0,0,1,0
38000000,3,63.1,14.0,16.0,2010.0,0,1,0
84000000,3,93.4,7.0,12.0,2020.0,0,1,0
32000000,3,57.0,3.0,4.0,1969.0,0,0,1
41500000,1,48.2,1.0,5.0,2001.0,0,0,1
68000000,4,160.0,2.0,3.0,2010.0,1,0,0
60000000,3,82.8,4.0,13.0,2026.0,0,1,0
69000000,2,83.0,5.0,12.0,2020.0,0,1,0
63000000,3,80.0,8.0,22.0,2012.0,0,1,0
89000000,3,80.0,12.0,16.0,2019.0,0,1,0
36000000,3,54.8,11.0,12.0,2021.0,0,1,0
64500000,2,68.9,4.0,17.0,2020.0,0,1,0
61000000,2,110.0,7.0,12.0,2015.0,0,1,0
28000000,2,43.0,8.0,9.0,2017.0,0,1,0
101000000,3,117.0,8.0,20.0,2022.0,0,1,0
36000000,2,58.0,1.0,9.0,2007.0,0,0,0
72490000,2,63.7,6.0,12.0,2023.0,0,1,0
77000000,2,81.8,3.0,6.0,2024.0,0,1,0
18000000,1,30.0,12.0,12.0,2024.0,0,1,0
55000000,2,57.3,9.0,13.0,2025.0,0,1,0
46000000,4,82.6,5.0,5.0,1992.0,0,0,1
63000000,3,65.0,5.0,5.0,1981.0,1,0,0
105000000,4,106.0,2.0,6.0,2025.0,0,1,0
41500000,2,51.0,8.0,10.0,2012.0,0,1,0
49500000,1,48.5,1.0,9.0,2023.0,0,1,0
47500000,2,56.0,2.0,13.0,2024.0,0,1,0
56000000,2,52.0,3.0,3.0,2024.0,0,1,0
19800000,2,41.0,2.0,2.0,1965.0,1,0,0
82900000,4,150.5,3.0,4.0,2010.0,1,0,0
73990000,3,69.0,2.0,12.0,2024.0,0,1,0
38000000,2,52.9,9.0,9.0,1986.0,0,0,1
39000000,2,88.0,9.0,9.0,2012.0,0,1,0
135000000,4,116.0,3.0,12.0,2022.0,0,0,0
32500000,2,64.0,1.0,5.0,2016.0,0,1,0
35000000,1,30.0,3.0,4.0,1963.0,1,0,0
41500000,1,41.8,15.0,15.0,2022.0,0,1,0
64000000,3,96.0,3.0,9.0,2025.0,0,1,0
34500000,2,50.2,3.0,10.0,2023.0,0,1,0
53000000,3,87.0,4.0,9.0,2009.0,0,1,0
67000000,2,70.0,2.0,3.0,2020.0,0,0,0
35500000,3,58.0,1.0,4.0,1968.0,0,0,1
41500000,3,62.1,4.0,4.0,1975.0,0,0,1
30500000,2,45.6,10.0,12.0,2022.0,0,1,0
34000000,1,42.0,17.0,17.0,2014.0,0,1,0
24000000,1,35.0,10.0,12.0,2019.0,0,1,0
150000000,3,122.5,4.0,12.0,2025.0,0,1,0
58000000,2,52.3,11.0,18.0,2023.0,0,1,0
62900000,3,74.0,4.0,14.0,2026.0,0,1,0
22800000,1,44.5,6.0,9.0,2025.0,0,1,0
42999999,3,94.0,7.0,10.0,2010.0,0,1,0
51000000,2,52.0,10.0,12.0,2022.0,0,1,0
34000000,2,65.0,6.0,6.0,2015.0,0,1,0
66000000,2,61.0,4.0,16.0,2023.0,0,1,0
28000000,2,43.0,3.0,7.0,2025.0,0,1,0
41500000,3,61.3,5.0,5.0,1980.0,0,0,1
30500000,2,66.4,9.0,9.0,2022.0,0,1,0
57000000,3,66.0,11.0,12.0,2024.0,0,1,0
